to_date,received_quantity
2020-07-27,3083.7
2020-07-28,4358.400000000001
2020-07-29,4324.550000000001
2020-07-30,3550.1
2020-07-31,4379.330000000001
2020-08-01,2634.25
2020-08-02,1460.4
2020-08-03,1709.7999999999997
2020-08-04,2670.1000000000004
2020-08-05,2103.05
2020-08-06,3223.335
2020-08-07,2828.5000000000005
2020-08-08,2635.7
2020-08-09,953.1000000000001
2020-08-10,2687.9000000000005
2020-08-11,2412.85
2020-08-12,2219.0000000000005
2020-08-13,2307.1499999999996
2020-08-14,1955.5499999999997
2020-08-15,1495.99
2020-08-16,670.6
2020-08-17,1557.4
2020-08-18,2244.7999999999997
2020-08-19,2242.9500000000003
2020-08-20,1701.8000000000004
2020-08-21,1937.05
2020-08-22,810.35
2020-08-23,767.75
2020-08-24,1723.7500000000002
2020-08-25,2069.5299999999997
2020-08-26,1474.3500000000001
2020-08-27,1617.5000000000005
2020-08-28,1990.4500000000003
2020-08-29,1988.1000000000001
2020-08-30,1659.2499999999998
2020-09-01,3250.6500000000005
2020-09-02,3851.05
2020-09-03,3321.8
2020-09-04,3452.3999999999996
2020-09-05,2102.3999999999996
2020-09-06,1337.7499999999998
2020-09-07,3347.3500000000004
2020-09-08,3673.249
2020-09-09,3740.75
2020-09-10,3488.9499999999994
2020-09-11,3205.2000000000003
2020-09-12,2653.7000000000003
2020-09-13,1098.7000000000003
2020-09-14,2451.5499999999993
2020-09-15,3668.15
2020-09-16,4537.3499999999985
2020-09-17,4009.85
2020-09-18,3714.1999999999994
2020-09-19,3996.3499999999995
2020-09-20,1696.6000000000001
2020-09-21,3017.5499999999997
2020-09-22,3740.6499999999996
2020-09-23,3209.45
2020-09-24,3128.55
2020-09-25,2176.4
2020-09-26,3000.1
2020-09-27,1541.6499999999999
2020-09-28,3306.025
2020-09-29,3332.1
2020-09-30,3436.6000000000004
2020-10-01,3643.65
2020-10-02,3061.1499999999996
2020-10-03,2963.6499999999996
2020-10-04,1851.1999999999998
2020-10-05,2724.25
2020-10-06,3175.4500000000003
2020-10-07,3710.5600000000004
2020-10-08,4672.4
2020-10-09,4896.7
2020-10-10,4182.25
2020-10-11,2261.95
2020-10-12,3802.5000000000005
2020-10-13,4342.290000000001
2020-10-14,3992.2999999999997
2020-10-15,3042.7499999999995
2020-10-16,3458.75
2020-10-17,3230.9
2020-10-18,2140.2000000000003
2020-10-19,3613.4500000000007
2020-10-20,3124.5499999999997
2020-10-21,2483.9
2020-10-22,2540.6500000000005
2020-10-23,1658.3
2020-10-24,1125.0
2020-10-25,794.75
2020-10-26,1693.55
2020-10-27,2623.5499999999997
2020-10-28,1929.8
2020-10-29,1983.5500000000002
2020-10-30,3442.6499999999996
2020-11-01,4424.85
2020-11-02,6396.65
2020-11-03,4653.6
2020-11-04,4202.650000000001
2020-11-05,3582.15
2020-11-06,3741.105
2020-11-07,3180.95
2020-11-08,1068.2
2020-11-09,2071.3999999999996
2020-11-10,3285.0539999999996
2020-11-11,1967.2500000000002
2020-11-12,3253.3999999999996
2020-11-13,2961.9500000000003
2020-11-14,661.9
2020-11-15,508.75
2020-11-16,1529.2
2020-11-17,2711.5499999999997
2020-11-18,2619.45
2020-11-19,3557.5499999999997
2020-11-20,3705.650000000001
2020-11-21,5322.450000000001
2020-11-22,4753.450000000001
2020-11-23,4218.05
2020-11-24,5286.5
2020-11-25,5218.15
2020-11-26,3885.4
2020-11-27,2977.6000000000004
2020-11-28,3195.2999999999997
2020-11-29,1905.475
2020-11-30,2373.2499999999995
2020-12-20,830.2
2020-12-21,1824.3999999999996
2020-12-22,1608.65
2020-12-23,1817.0000000000002
2020-12-24,1113.85
2020-12-25,1138.6499999999999
2020-12-26,1809.7000000000003
2020-12-27,648.95
2020-12-28,1424.0
2020-12-29,1374.0500000000002
2020-12-30,1713.8999999999999
2020-12-31,1513.9499999999998
